SKU,UBICACIÓN,PASILLO,DESCRIPTION,PROVEEDOR,UXB,PLANCHA,ALTO POR PALLET,ZONA,SYS_CODE,ITEM_CLASS,LON,ANC,ALT,PESO,L_PASILLO,L_BAHIA,L_NIVEL,L_POSICION,L_PASILLO_NUM,L_BAHIA_NUM,L_NIVEL_NUM,COORD_X,COORD_Y,COORD_Z
100580,3140106,3,EL CHARRO TEQUILA GOLD 750 ML.,CAMPUESA S.A. - GENERAL,12,11,3,UNIDADES,LTC,NO PERECEDEROS BULK,55.0,42.0,31.0,19.2,3,14,1,6,3,14,1,12.8,8.4,1.5
100581,3100101,3,EL CHARRO TEQUILA SILVER 750 ML.,CAMPUESA S.A. - GENERAL,12,10,4,UNIDADES,LTC,NO PERECEDEROS BULK,33.0,25.0,30.0,15.6,3,10,1,1,3,10,1,12.8,6.0,1.5
100500070,3300108,3,HANUTA GALLETA CON AVELLANA 264 GR.,FERRERO DEL ECUADOR S.A. - GENERAL,15,16,5,UNIDADES,LTC,PERECEDEROS BULK,41.0,17.0,25.0,4.9,3,30,1,8,3,30,1,12.8,18.0,1.5
100758,3150108,3,ZHUMIR LICOR SEMI-SECO SABOR DURAZNO 350 ML.,AZENDE LOGISTIC AZENDELOG CIA - GENERAL,24,11,5,UNIDADES,LTC,NO PERECEDEROS BULK,37.0,28.0,19.0,14.12,3,15,1,8,3,15,1,11.2,9.6,1.5
100923,3110102,3,ANTHONY VINO SABOR MOSCATEL ROSATO 750 ML.,COLEMUN S.A. - GENERAL,12,11,3,VARIOS,LTC,PERECEDEROS BULK,37.0,28.0,29.0,14.8,3,11,1,2,3,11,1,11.2,7.199999999999999,1.5
101522,3320104,3,TIC TAC SABOR FRUIT ADVENTURE X 12 UN.,FERRERO DEL ECUADOR S.A. - GENERAL,24,18,5,UNIDADES,LTC,PERECEDEROS BULK,33.0,20.0,21.0,6.7,3,32,1,4,3,32,1,12.8,19.2,1.5
101750169,3160102,3,MINI TANGO GALLETA RECUBIERTA DE CHOCOLATE FUNDA 299 GR.,NESTLE ECUADOR S.A. - GALLETAS RECUBIERTAS,20,12,3,UNIDADES,LTC,PERECEDEROS BULK,50.0,19.0,45.0,7.1,3,16,1,2,3,16,1,12.8,9.6,1.5
102293,3270107,3,CERELAC SUPLEMENTO 5 CEREALES 400 GR.,NESTLE ECUADOR S.A. - GENERAL,24,8,5,UNIDADES,LTC,PERECEDEROS BULK,41.0,31.0,23.0,11.6,3,27,1,7,3,27,1,11.2,16.8,1.5
102294,3330106,3,CERELAC SUPLEMENTO SABOR TRADICIONAL1KG.,NESTLE ECUADOR S.A. - GENERAL,12,5,7,UNIDADES,LTC,PERECEDEROS BULK,53.0,40.0,16.0,14.2,3,33,1,6,3,33,1,11.2,20.4,1.5
102802,3170108,3,VERDE PAMBA LENTEJA 500 GR.,SUCESORES DE JACOBO PAREDES M. S.A - GENERAL,24,6,8,UNIDADES,LTC,PERECEDEROS BULK,57.0,51.0,10.0,11.8,3,17,1,8,3,17,1,11.2,10.799999999999999,1.5
