SUC DESTINO;SKU;# TRANSF;DESCRIPTION;FECHA;SHIP;SHIP.1
IÑAQUITO;180057062;1513238;SANTA MARIA PAPEL HIGIENICO 16MT 2H X12UN;31/3/2026;4;1,00
IÑAQUITO;61332;1513238;MARCELLO´S PASTA DE TOMATE 1.82 KG.;31/3/2026;6;1,00
IÑAQUITO;109100110;1513238;REXONA AEROSOL BIPACK BAMBOO 90G;31/3/2026;6;1,00
IÑAQUITO;117751431;1513238;PACIFICO SAL DE MESA 2 KG;31/3/2026;25;1,00
IÑAQUITO;42175;1513238;PANCHITO FIESTA NATURAL 163 GR.;31/3/2026;12;1,00
IÑAQUITO;27935;1513238;MAGGI CREMA DE CHOCLO 64 GR.;31/3/2026;72;2,00
IÑAQUITO;31061;1513238;CHERRY BETUN LIQUIDO BLANCO 60 ML.;31/3/2026;12;1,00
IÑAQUITO;27898;1513238;MC CORMICK SALSA INGLESA FRASCO 175 GR;31/3/2026;24;1,00
IÑAQUITO;28805;1513238;LA BRUJITA CEPILLO DE ROPA CAPRI UN.;31/3/2026;12;1,00
IÑAQUITO;183955052;1513238;APIKAI MANI CON CEBOLLA 300G;31/3/2026;10;1,00
IÑAQUITO;206505151;1513238;ROSES AGUA MICELAR 200ML;31/3/2026;12;1,00
IÑAQUITO;199304959;1513238;LAVATODO LAVAVAJILLA CREMA SANDIA 450 GR.;31/3/2026;24;1,00
IÑAQUITO;201004905;1513238;VILEDA PAÑO PARA PISO ULTRA FRESH UN.;31/3/2026;24;1,00
IÑAQUITO;132852432;1513238;SUAVITEL DOYPACK FRESCA PRIMAVERA 800 ML;31/3/2026;12;1,00
IÑAQUITO;83197;1513238;DOVE DESODORANTE MEN ROLLON EXTRA FRESH 50 ML.;31/3/2026;12;1,00
IÑAQUITO;35241;1513238;ESTRELLA GUANTE BICOLOR 7 1/2;31/3/2026;12;1,00
IÑAQUITO;27960;1513238;SNOB MERMELADA FRUTI-MORA 600 GR.;31/3/2026;12;1,00
IÑAQUITO;71417;1513238;PRODELSOL CEPILLO SANITARIO CON BASE X 12 UN.;31/3/2026;12;1,00
IÑAQUITO;208654935;1513238;AXE DESODORANTE BOBYSPRAY FRAGANCIA CHERRY SPRITZ 150 ML.;31/3/2026;12;1,00
IÑAQUITO;102951;1513238;ELITE PAPEL HIGIENICO SOFT&STRONG MEGA 32 M X 12 UNI;31/3/2026;4;1,00
IÑAQUITO;162853073;1513238;SANTA MARIA ARROZ ENVEJECIDO 22.68 KG.;31/3/2026;1;1,00
IÑAQUITO;101850119;1513238;VIRGINIA LUSTRAMUEBLES CREMA VAINILLA 250 ML.;31/3/2026;12;1,00
IÑAQUITO;203704948;1513238;MAX WASH DETERGENTE EN POLVO AROMA LIMÓN 1 KG;31/3/2026;20;1,00
IÑAQUITO;114150200;1513238;DON VITTORIO FETTUCINI  400 GR.;31/3/2026;20;1,00
IÑAQUITO;124701600;1513238;SYLVANIA TOLEDO LED A60 9W 6.5K MV BLX2;31/3/2026;10;1,00
IÑAQUITO;137802979;1513238;COLGATE CREMA DENTAL LUMINOUS WHITE CARBON 75ML;31/3/2026;48;1,00
IÑAQUITO;33009;1513238;LOS ANDES SALSA DE TOMATE ECOPACK 400 GR;31/3/2026;12;1,00
IÑAQUITO;149652998;1513238;LAVATODO DETERGENTE MULTIUSOS FLORAL 1KG.;31/3/2026;12;1,00
IÑAQUITO;166453317;1513238;GLADE MINI GEL MORA RADIANTE 70G;31/3/2026;12;1,00
IÑAQUITO;118201861;1513238;COLGATE CEPILLO DENTAL PRO CUIDADO  X 4PK;31/3/2026;12;1,00
IÑAQUITO;120001964;1513238;BANCHIS CHIFLE SABOR NATURAL DE 40GR.;31/3/2026;60;1,00
IÑAQUITO;42989;1513238;CONDIMENSA AJO EN PASTA BOTELLA PET. 470 GR;31/3/2026;45;3,00
IÑAQUITO;177404844;1513238;TIPS AMBIENTADOR TIPO CONO GEL FRUT ROJOS 170 GR;31/3/2026;12;1,00
IÑAQUITO;77294;1513238;CLOROX CLORO LIMON 500 ML.;31/3/2026;24;1,00
IÑAQUITO;166203115;1513238;ELVIVE ACONDICIONADOR COLOR VIVE 370ML.;31/3/2026;12;1,00
IÑAQUITO;197754972;1513238;GOLPE SNACKS SABOR RANCHERO 55GR;31/3/2026;36;1,00
IÑAQUITO;186655063;1513238;TIPS PASTILLA AMBIENTE BRISAS DE LAVANDA 60 GR.;31/3/2026;24;1,00
IÑAQUITO;82132;1513238;NOSOTRAS PROTECTORES DIARIOS LARGOS X 50 UN.;31/3/2026;12;1,00
IÑAQUITO;27873;1513238;MAGGI MOSTAZA 4 KG.;31/3/2026;2;2,00
IÑAQUITO;30750;1513238;INDIO BRAVO SALSA DE AJI 100 GR.;31/3/2026;24;1,00
IÑAQUITO;87529;1513238;CICLON DETERGENTE POLVO ULTRA FLORAL 3 KG.;31/3/2026;4;1,00
IÑAQUITO;175554902;1513238;NOSOTRAS TOALLAS HIGIENICAS NATURAL PLUS CANALGEL 10 UND;31/3/2026;24;1,00
IÑAQUITO;185905024;1513238;NESTLE COCO CLASSIC COOKIES 450GR.;31/3/2026;20;1,00
IÑAQUITO;199304983;1513238;LAVATODO LAVAVAJILLA SANDIA DOYPACK 360 ML.;31/3/2026;12;1,00
IÑAQUITO;170053156;1513238;MASTER GUANTES LIMPIEZA PROFUNDA NEGRO/VERDE #7.5;31/3/2026;12;1,00
IÑAQUITO;93770;1513238;LA DURA FUNDA DE BASURA GRANDE VERDE 30X35 X 10 UN.;31/3/2026;10;1,00
IÑAQUITO;28988;1513238;KALIPTO DESINFECTANTE EUCALIPTO 4 LT.;31/3/2026;24;6,00
IÑAQUITO;29013;1513238;SAPOLIO INSECTICIDA MATA CUCARACHAS 360 ML.;31/3/2026;12;1,00
IÑAQUITO;27210;1513238;SUPERFINO VINAGRE NATURAL 500 GR.;31/3/2026;24;1,00
IÑAQUITO;207805017;1513238;TIPS AMBIENTAL SPRAY EXPLOSION FLORAL 360 ML.;31/3/2026;12;1,00
IÑAQUITO;47520;1513238;MAGGI MAYONESA SOBRE 90 GR.;31/3/2026;96;1,00
IÑAQUITO;149652980;1513238;LAVATODO DETERGENTE MULTIUSOS LIMON 1KG;31/3/2026;12;1,00
IÑAQUITO;108650195;1513238;PRUDENTIAL CONFORT PAÑAL GRANDE X 20;31/3/2026;4;1,00
IÑAQUITO;182805626;1513238;PALMA DE ORO ACEITE POPULAR FUNDA 480ML.;31/3/2026;15;1,00
IÑAQUITO;111700085;1513238;NÍVEA DESODORANTE BLACK AND WHITE PACK 2DO 50%;31/3/2026;6;1,00
IÑAQUITO;206455035;1513238;NUTRIBELA TRATAMIENTO BIOCOLAGENO POTE 450ML;31/3/2026;18;1,00
IÑAQUITO;27315;1513238;SABORA PIMIENTA FUNDA 250 GR.;31/3/2026;24;1,00
IÑAQUITO;62688;1513238;PATO ADHESIVO INODORO FLORAL LAVANDA 30 GR.;31/3/2026;24;1,00
IÑAQUITO;39510;1513238;SNOB MERMELADA SACHET SABOR A FRUTIMORA 240 GR;31/3/2026;48;2,00
IÑAQUITO;39881;1513238;GOLDERIE TRADING MOLDE RECTANGULAR CON TAPA X 10 UN.;31/3/2026;20;1,00
IÑAQUITO;211004992;1513238;INALECSA PANCHITOS NATURAL 63 G;31/3/2026;30;1,00
IÑAQUITO;197254898;1513238;CLEANFUL PAÑO ABSORBENTE PACK X 10 UN.;31/3/2026;24;1,00
IÑAQUITO;28872;1513238;MASTER GUANTE AZUL C-20# 8 UN.;31/3/2026;24;2,00
IÑAQUITO;60914;1513238;BLENDY ENJUAGUE BUCAL NIÑOS TITUFRUTI  300 ML;31/3/2026;12;1,00
IÑAQUITO;178954813;1513238;COLGATE CEPILLO DENTAL SLIM SOFT CHARCOAL 2X1;31/3/2026;12;1,00
IÑAQUITO;199304932;1513238;LAVATODO LAVAVAJILLA CREMA LIMÓN 450 GR.;31/3/2026;24;1,00
IÑAQUITO;168953155;1513238;LADY SPEED STICK DESODORANTE CLINICAL CREMA 70G;31/3/2026;18;1,00
IÑAQUITO;182105099;1513238;EL SABOR LAUREL 12 GR;31/3/2026;24;1,00
IÑAQUITO;160803013;1513238;AMAZONAS FLOR DE JAMAICA 60GR.;31/3/2026;30;1,00
IÑAQUITO;185155067;1513238;TUMIX CHICLES SABOR SANDIA X30;31/3/2026;24;0,50
IÑAQUITO;27208;1513238;DOÑA PETRA VINAGRE BLANCO 3.5 LT.;31/3/2026;24;6,00
IÑAQUITO;35159;1513238;GUSTADINA MERMELADA SACHET SABOR A GUAYABA 250 GR.;31/3/2026;12;1,00
IÑAQUITO;79412;1513238;TIPS PASTILLA BAÑO ANTIBACTERIAL MANZANA & CANELA 90 GR.;31/3/2026;24;1,00
IÑAQUITO;33102;1513238;QUAKER AVENA EXTRA 500 GR.;31/3/2026;25;1,00
IÑAQUITO;69647;1513238;AROMA NATURAL CANELA EN RAMA 30 GR.;31/3/2026;60;2,00
IÑAQUITO;147302960;1513238;PERLA DETERGENTE LIQUIDO PARA BEBE 900 ML.;31/3/2026;12;1,00
IÑAQUITO;170053244;1513238;MASTER GUANTES LIMPIEZA PROFUNDA NEGRO/VERDE #8;31/3/2026;12;1,00
IÑAQUITO;28577;1513238;FAMILIA SERVILLETA DECORADA X 100 UN.;31/3/2026;36;1,00
IÑAQUITO;97676;1513238;CONDIMENSA ACHIOTE EN GRANO 50 GR.;31/3/2026;25;1,00
IÑAQUITO;170053252;1513238;MASTER GUANTES LIMPIEZA PROFUNDA NEGRO/VERDE #8.5;31/3/2026;12;1,00
IÑAQUITO;178254868;1513238;LAVA LIQUIDO LAVAVAJILLA LIMON DOYPACK 450 ML;31/3/2026;12;1,00
IÑAQUITO;196805029;1513238;BEE COLOR TINTE EN POLVO 7 RUBIO MEDIO 6 GR;31/3/2026;6;1,00
IÑAQUITO;163453813;1513238;ESTRELLA GUANTE DOMESTICO AMARILLO TALLA 8 UN.;31/3/2026;24;2,00
