SUC DESTINO;SKU;# TRANSF;DESCRIP ITEM;FECHA;SHIP;SHIP.1
IÑAQUITO;53848;1367412;SANTA MARIA DESINFECTANTE FRAGANCIA LAVANDA 4 LT.;1/10/2025;6;1
IÑAQUITO;93229;1367412;VAN CAMPS ATUN TRIPACK EN AGUA ABRE FACIL 80 GR.;1/10/2025;16;1
IÑAQUITO;39687;1367412;YA HARINA 2 KG.;1/10/2025;12;1
IÑAQUITO;123951295;1367412;LIRA´S EXPRESS ARROZ ENVEJECIDO ARROBA 11.36K;1/10/2025;3;3
IÑAQUITO;84105;1367412;BUENDIA CAFE LIOFILIZADO DESCAFEINADO 85 GR.;1/10/2025;12;1
IÑAQUITO;133901232;1367412;GOLDERY REPUESTO DE  FILM 100 METROS;1/10/2025;24;1
IÑAQUITO;107250261;1367412;ORANGINE  AGUA MINERAL  3LT;1/10/2025;6;1
IÑAQUITO;149453147;1367412;CLOROX QUITAMANCHAS BLANCO SUPREMO 500 ML.;1/10/2025;24;1
IÑAQUITO;200004903;1367412;NATURE´S HEART CACAO ORGANICO 150 GR;1/10/2025;12;1
IÑAQUITO;206505063;1367412;SIR EDWARS WHISKY ESCOCES 1000ML;1/10/2025;12;1
IÑAQUITO;207054962;1367412;VIVANT AGUA NATURAL SIN GAS 625 ML;1/10/2025;20;1
IÑAQUITO;170053287;1367412;ELITE PAPEL HIGENICO SOFT & STRONG MGR 32  MTS;1/10/2025;2;1
IÑAQUITO;188404903;1367412;ISABELLA SHAMPOO INFANTIL MANZANILLA 750 ML;1/10/2025;12;1
IÑAQUITO;118700651;1367412;SAN FELIPE DUO PACK AGUA CON GAS 1.5 LT;1/10/2025;12;4
IÑAQUITO;30655;1367412;SANTA MARIA FIDEO LAZO ILUSION 400 GR.;1/10/2025;25;1
IÑAQUITO;112382;1367412;EXPORTACION CONCHA Y TORO VINO TINTO CANBERNET SAUVIGNON  BOTELLA 750ML;1/10/2025;4;0,67
IÑAQUITO;115251037;1367412;ALA CENA MAYONESA DOY PACK 900 GR.;1/10/2025;6;1
IÑAQUITO;172154381;1367412;NIVEA MEN DEO ROLL ON INVISIBLE BLACK & WHITE 50ML;1/10/2025;12;1
IÑAQUITO;27975;1367412;FACUNDO MERMELADA FRUTILLA 300 GR.;1/10/2025;12;1
IÑAQUITO;204805011;1367412;NIVEA LIP CARE MORA;1/10/2025;12;1
IÑAQUITO;33009;1367412;LOS ANDES SALSA DE TOMATE ECOPACK 400 GR;1/10/2025;12;1
IÑAQUITO;166453317;1367412;GLADE MINI GEL MORA RADIANTE 70G;1/10/2025;12;1
IÑAQUITO;136902978;1367412;CLICK TRAPEADOR DE MICROFIBRA CON OJAL REFORZADO;1/10/2025;12;1
IÑAQUITO;73870;1367412;EL MAQUEÑITO PAPAS RIZOS 100 GR.;1/10/2025;25;1
IÑAQUITO;170253027;1367412;SANTA MARIA ATUN EN GIRASOL 180 GR.;1/10/2025;288;6
IÑAQUITO;122350640;1367412;ANIVENTURA GALLETA SABOR A CHOCOLATE 380 GR.;1/10/2025;12;1
IÑAQUITO;205404906;1367412;ISABELLA SHAMPOO CON EXTRACTO DE ORTIGA Y ROMERO 1200ML;1/10/2025;12;1
IÑAQUITO;132251266;1367412;CORFRUIT ALMENDRAS PELADAS 200 GR;1/10/2025;24;1
IÑAQUITO;115851243;1367412;NATURA NECTAR SABOR A NARANJA 1 LT.;1/10/2025;12;1
IÑAQUITO;178254868;1367412;LAVA LIQUIDO LAVAVAJILLA LIMON DOYPACK 450 ML;1/10/2025;12;1
IÑAQUITO;103328;1367412;VIVANT AGUA NATURAL SIN GAS 6 LT.;1/10/2025;36;9
IÑAQUITO;85055;1367412;NATURE´S HEART TE VERDE X 20 UN;1/10/2025;20;1
IÑAQUITO;193154970;1367412;LAVATODO JABON NARANJA MANDARINA BIPACK 460 GR.;1/10/2025;24;1
IÑAQUITO;108352796;1367412;YA PACK REFRESCO PAGUE 7 LLEVA 8 C/U 15 GR;1/10/2025;36;1
IÑAQUITO;27208;1367412;DOÑA PETRA VINAGRE BLANCO 3.5 LT.;1/10/2025;4;1
IÑAQUITO;154603189;1367412;CLOROX TOALLITAS DESINFECTANTES FLOW PACK 30 UN;1/10/2025;12;1
IÑAQUITO;202704903;1367412;JOLLY JABON DE TOCADOR AVENA ANTIBACTERIAL TRIPACK 300GR;1/10/2025;12;1
IÑAQUITO;131801334;1367412;DEJA POLVO SUAV ALOE C/BIC 1.2KG;1/10/2025;10;1
IÑAQUITO;168353205;1367412;VIVANT STORM LIMONADA 450CC;1/10/2025;20;1
IÑAQUITO;178554810;1367412;FAMILIA PAPEL HIGIENICO JARDIN PRIMAVERA;1/10/2025;12;1
IÑAQUITO;180057054;1367412;SANTA MARIA PAPEL HIGIENICO 30MT 2H X18UN;1/10/2025;6;3
IÑAQUITO;33085;1367412;MAIZABROSA HARINA AMARILLA 1 KG.;1/10/2025;20;1
IÑAQUITO;185855012;1367412;MEETING LICOR DULCE SABOR A AMARETO;1/10/2025;12;1
IÑAQUITO;31742;1367412;VITA LECHE UHT ENTERA 1 LT.;1/10/2025;60;5
IÑAQUITO;132101621;1367412;SPORADE  BEBIDA HIDRTANTE SABOR TROPICAL 1200 ML PET.;1/10/2025;18;3
IÑAQUITO;77298;1367412;CLOROX CLORO REGULAR 2 LT.;1/10/2025;8;1
IÑAQUITO;88020;1367412;PERLA JABON BEBE MANZANILLA 200 GR.;1/10/2025;48;1
IÑAQUITO;206505047;1367412;LE COQ COCTEL T-QUILA SUNRISE 330ML;1/10/2025;12;1
IÑAQUITO;90542;1367412;MANITOBA MANI CHOCOLATE 50 GR;1/10/2025;24;1
IÑAQUITO;31181;1367412;CRIS SAL SAL DE MESA 500 GR.;1/10/2025;100;2
IÑAQUITO;189455260;1367412;MAIZABROSA HARINA BLANCA 1KG;1/10/2025;20;1
IÑAQUITO;197705169;1367412;QUAKER AVENA MOLIDA INSTANTANEA 200GR;1/10/2025;50;1
IÑAQUITO;203504891;1367412;CONEJO ARROZ ENVEJECIDO 20 LB.;1/10/2025;8;8
IÑAQUITO;68630;1367412;MASTER PAÑOS MULTIUSO ANTIBACTERIAL X 6 UN.;1/10/2025;12;1
IÑAQUITO;89382;1367412;KALIPTO DESINFECTANTE MANZANA VERDE 4 LT.;1/10/2025;4;1
IÑAQUITO;104325;1367412;NUTRAPRO COMIDA PARA ADULTO RAZAS MEDIANA/GRANDE 4 KG.;1/10/2025;5;1
IÑAQUITO;47518;1367412;MAGGI MAYONESA DOYPACK 900 GR.;1/10/2025;8;1
IÑAQUITO;89328;1367412;MICROLIMPIA PAÑO PARA LIMPIEZA DE POLVO;1/10/2025;12;1
IÑAQUITO;168353230;1367412;NICETEA TE NEGRO LIMÓN 450CC;1/10/2025;24;2
IÑAQUITO;27211;1367412;SUPERFINO VINAGRE NATURAL 4 LT.;1/10/2025;12;3
IÑAQUITO;118350831;1367412;EXCELENCIA ACEITUNA VERDE DESHUESADA DOY PACK 180GR;1/10/2025;16;1
IÑAQUITO;27194;1367412;ALESOL ACEITE FUNDA 1 LT.;1/10/2025;108;9
IÑAQUITO;29220;1367412;EL SELECTO MANI PELADO 200 GR.;1/10/2025;20;1
IÑAQUITO;182305293;1367412;CLUB SOCIAL GALLETA ORIGINAL 216GR.;1/10/2025;24;1
IÑAQUITO;207154912;1367412;LA VAQUITA LECHE ENTERA FUNDA 900ML;1/10/2025;36;3
IÑAQUITO;190155168;1367412;EL ORDEÑO AVENA CON NARANJILLA FUNDA  900ML;1/10/2025;12;1
IÑAQUITO;199204966;1367412;PILSENER SIXPACK CERVEZA LATA 269 ML;1/10/2025;8;8
IÑAQUITO;31884;1367412;ENERGIZER PILA ALKALINA MAX AA X 4 UN.;1/10/2025;12;0,25
IÑAQUITO;159952943;1367412;GOOD RICE ARROZ ARROBA 11.34 KG;1/10/2025;10;10
IÑAQUITO;168503146;1367412;ANTHONY VINO SABOR FRESA 750ML.;1/10/2025;2;0,17
IÑAQUITO;88050;1367412;LA PRIMERA SALSA DE TOMATE GALON 3.650 KG;1/10/2025;12;12
IÑAQUITO;109726;1367412;DON VITTORIO LINGUINI GROSSO 400 GR;1/10/2025;24;1
IÑAQUITO;111000214;1367412;VAN CAMPS SARDINA EN TOMATE 225 GR;1/10/2025;72;3
IÑAQUITO;33051;1367412;SANTA LUCIA CAKE SABOR A CHOCOLATE 500 GR.;1/10/2025;12;1
IÑAQUITO;50182;1367412;MEDALLA DE ORO HARINA 9 KG.;1/10/2025;4;4
IÑAQUITO;80634;1367412;LADYSOFT TOALLAS NORMAL TELA CON ALAS X 42 UN.;1/10/2025;8;1
IÑAQUITO;123601519;1367412;SAN FELIPE AGUA CON GAS 1500 ML.;1/10/2025;6;1
IÑAQUITO;172102978;1367412;SANTA MARIA ACEITE VEGETAL CON ACHIOTE 500ML;1/10/2025;30;1
IÑAQUITO;183104995;1367412;SANTA MARIA CREMA LAVAVAJILLA AVENA 1KG;1/10/2025;12;1
IÑAQUITO;132901767;1367412;ISABELLA JABÓN LÍQUIDO AVENA Y MIEL 1000 ML;1/10/2025;12;1
IÑAQUITO;163253053;1367412;TAVERNELLO VINO ROSSO 750 ML.;1/10/2025;6;1
IÑAQUITO;180005895;1367412;CLORO BLANQUEADOR ORIGINAL CLOROX 160GR;1/10/2025;90;1
IÑAQUITO;61388;1367412;LOS ANDES MAYONESA ECOPACK 200 GR.;1/10/2025;24;1
IÑAQUITO;193305141;1367412;PROPOMIEL CARAMELO DURO DE PROPOLEO JENGIBRE MIEL MENTOL Y VITAMINA C 75 GR;1/10/2025;12;1
IÑAQUITO;27209;1367412;DOÑA PETRA VINAGRE BLANCO 480 ML.;1/10/2025;24;1
